Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Rafael Devers,SF,1B,29,90,335,52,79,15,0,20,51,0,0,56,116,0,2,2,.236,.347,.460,.807
Mike Tauchman,CWS,OF,35,93,335,44,88,17,1,9,40,0,0,45,86,0,1,4,.263,.356,.400,.756
Ryan Mountcastle,BAL,1B,29,89,332,34,83,18,0,7,35,3,0,15,98,0,6,4,.250,.286,.367,.653
Liam Hicks,MIA,C,26,119,332,37,82,13,1,6,45,2,0,43,56,3,3,9,.247,.346,.346,.692
Jared Triolo,PIT,3B,28,107,331,41,75,18,2,7,24,13,2,39,76,3,1,2,.227,.311,.356,.667
Andres Gimenez,TOR,2B,27,101,329,39,69,11,1,7,35,12,2,25,66,1,3,11,.210,.285,.313,.598
Jordan Westburg,BAL,3B,27,85,328,59,87,10,1,17,41,1,2,17,80,0,1,6,.265,.313,.457,.770
Colton Cowser,BAL,OF,25,92,327,36,64,14,0,16,40,14,0,27,128,0,0,6,.196,.269,.385,.654
Jacob Young,WSH,OF,26,120,324,34,75,10,1,2,31,15,11,27,65,9,1,3,.231,.296,.287,.583
Adley Rutschman,BAL,C,28,90,322,37,71,16,2,9,29,0,0,40,57,0,2,1,.220,.307,.366,.673
Mike Yastrzemski,SF,OF,35,97,321,38,74,14,1,8,28,6,2,47,86,2,1,1,.231,.330,.355,.685
Daylen Lile,WSH,OF,23,91,321,51,96,15,11,9,41,8,6,21,56,1,3,4,.299,.347,.498,.845
Jurickson Profar,ATL,OF,33,80,318,56,78,16,1,14,43,9,2,48,59,0,0,5,.245,.353,.434,.787
Romy Gonzalez,BOS,2B,29,96,315,47,96,23,3,9,53,6,5,18,81,0,5,3,.305,.343,.483,.826
Cedric Mullins,BAL,OF,31,91,314,42,72,19,0,15,49,14,4,34,85,1,4,2,.229,.305,.433,.738
Max Muncy,LAD,3B,35,100,313,48,76,10,2,19,67,4,0,64,83,0,5,6,.243,.376,.470,.846
Javier Sanoja,MIA,OF,23,120,313,40,76,22,4,6,38,6,5,19,41,4,4,2,.243,.287,.396,.683
Casey Schmitt,SF,2B,27,95,312,34,74,15,0,12,40,0,0,27,83,1,3,5,.237,.305,.401,.706
Ryan O'Hearn,BAL,1B,32,94,311,45,88,15,1,13,43,3,1,42,63,0,3,5,.283,.374,.463,.837
Connor Norby,MIA,3B,25,88,311,42,78,17,1,8,34,8,2,18,90,0,3,5,.251,.300,.389,.689
Tyrone Taylor,NYM,OF,32,113,310,34,69,18,3,2,27,12,2,16,76,3,2,9,.223,.279,.319,.598
